VAS,Subsystem,Name,Prio,Dependency,Responsible,Description,VW,Audi, System
Legacy_VAS,Middleware,cam_20ms,75,,CDS,20 ms CAM (Cyclically Activity Manager) container,true,true,Productive
GSServers_VAS,RGL,VSP0_USR_IRQ_HANDLER,205,Highest priority ,CDS/Renesas,Handle the VSP IRQ. Must have the highest prio ,false,true,Productive
HMI_VAS,RGL,VSP0_USR_IRQ_HANDLER,205,Highest priority ,CDS/Renesas,Handle the VSP IRQ. Must have the highest prio ,true,false,Productive
HMI_VAS,MOST,EB_MLB_Task,252,,CDS,Media Local Bus driver ,true,true,Productive
HMI_VAS,MOST,EB_NS_Task,251,,CDS,MOST Net Service Task ,true,true,Productive
HMI_VAS,MOST,EB_ECL_Task,250,,CDS,MOST Electrical Control Line Task,true,true,Productive
HMI_VAS,MOST,EB_FB_Task,250,,CDS,MOST Function Block Task ,true,true,Productive
HMI_VAS,MOST,EB_VOM_Task,127,,CDS,MOST Video Object Monitoring Task ,true,true,Productive
Kernel_VAS,Integrity,GipcTarget_Dispatch,255,,CDS/GHS,Gipc: ipc target dispatcher ,true,true,Productive
Kernel_VAS,BSP,USBMassStorageDriverTask,254,,CDS/Renesas,Task of USB stack defined in the BSP,true,true,Development
Kernel_VAS,Integrity,LoaderTask,21,,CDS/GHS,Dynamic Downloads loader task,true,true,Productive
Kernel_VAS,Integrity,ResourceManager,254,,CDS/GHS,Manages kernel objects. Dynamic allocator of resources.,true,true,Productive
Kernel_VAS,Integrity,RunModePartnerTask,254,,CDS/GHS,Run Mode Debugging task,true,true,Development
Kernel_VAS,Integrity,MULTILoadAgent,254,,CDS/GHS,Dynamic Downloads loader agent for Multi,true,true,Development
BaseSystem_VAS,Integrity,OSAAgent,254,,CDS/GHS,OSA Debug agent task,true,true,Development
GSServers_VAS,Integrity,OSAAgent,254,,CDS/GHS,OSA Debug agent task,true,true,Development
HMI_VAS,Integrity,OSAAgent,254,,CDS/GHS,OSA Debug agent task,true,true,Development
Kernel_VAS,Integrity,OSAAgent,254,,CDS/GHS,OSA Debug agent task,true,true,Development
Legacy_VAS,Integrity,OSAAgent,254,,CDS/GHS,OSA Debug agent task,true,true,Development
SafeGRA_VAS,Integrity,OSAAgent,254,,CDS/GHS,OSA Debug agent task,true,false,Development
UNTRUSTED_VAS,Integrity,OSAAgent,254,,CDS/GHS,OSA Debug agent task,true,true,Development
Kernel_VAS,BSP,USBtoEthernetDriverTask,254,,CDS/Renesas,Task of USB stack defined in the BSP,true,true,Development
Kernel_VAS,BSP,USBCDCServerTask,254,,CDS/Renesas,USB task of the USB stack defined in the BSP,true,true,Development
Kernel_VAS,Integrity,InetServer,200,,CDS/GHS,IP server task of the ethernet stack,true,true,Development
Kernel_VAS,BSP,USB_Server_Task,200,,CDS/Renesas,Task from the USB stack defined in the BSP,true,true,Development
Kernel_VAS,Integrity,IOTask,152,,CDS/GHS,Task of the filesystem,true,true,Development
Kernel_VAS,Integrity,HealthMonitor,152,,CDS/GHS,Monitors the health of Integrity,true,true,Productive
Kernel_VAS,Integrity,Unmounter,151,,CDS/GHS,Task of the filesystem,true,true,Development
Kernel_VAS,Integrity,IOAssistant1,150,,CDS/GHS,Task of the filesystem,true,true,Development
Kernel_VAS,Integrity,Syncer,150,,CDS/GHS,Task of the filesystem,true,true,Development
Kernel_VAS,Integrity,IOAssistant0,150,,CDS/GHS,Task of the filesystem,true,true,Development
Kernel_VAS,Integrity,FileServer,150,,CDS/GHS,Task of the filesystem,true,true,Productive
Kernel_VAS,SecureGRA,SRPC_KernelLoaderTsk,33,,CDS,Load the Secure GRA VAS,true,true,Productive
